SCHOOL NAME,Num of SAT Test Takers,Critical Reading Avg Score,Math Avg. Score,Writing Avg. Score
VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379
HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367
MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371
FOOD AND FINANCE HIGH SCHOOL,62,409,393,392
HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377
LANDMARK HIGH SCHOOL,62,390,399,381
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544
LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403
GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385
KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383
BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355
HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368
CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416
GRAMERCY ARTS HIGH SCHOOL,60,391,391,394
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387
ASTOR COLLEGIATE ACADEMY,60,387,391,391
ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424
EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392
THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394
SECONDARY SCHOOL FOR LAW,59,398,411,394
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369
BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368
"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385
SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362
EXPLORATIONS ACADEMY,57,381,381,360
GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365
BROOKLYN LAB SCHOOL,57,360,385,363
ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351
HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326
IT TAKES A VILLAGE ACADEMY,56,313,320,330
HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365
DISCOVERY HIGH SCHOOL,55,372,379,364
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359
PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311
INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467
EAST NEW YORK FAMILY ACADEMY,54,416,432,394
MOTT HALL HIGH SCHOOL,54,413,399,398
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408
BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385
INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369
BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377
BANANA KELLY HIGH SCHOOL,54,373,381,377
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314
ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297
ESSEX STREET ACADEMY,53,394,384,378
PAUL ROBESON HIGH SCHOOL,53,365,363,355
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427
"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389
BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383
QUEENS PREPARATORY ACADEMY,52,360,380,359
URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302
BRONX ACADEMY OF LETTERS,51,413,381,407
BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400
DREAMYARD PREPARATORY SCHOOL,51,382,365,391
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368
PARK EAST HIGH SCHOOL,51,373,379,376
EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352
"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369
EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402
"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359
MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374
"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341
BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416
"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416
BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373
THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357
ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359
FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372
COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370
HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342
THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388
PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390
BRONX AEROSPACE HIGH SCHOOL,46,388,393,382
EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358
FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318
WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378
"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364
MARTA VALLE HIGH SCHOOL,44,390,433,384
URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383
